DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
5/3/18 15:00,38.52,39.26,38.4,38.47,34656
5/3/18 16:00,38.9,38.96,38.22,38.59,61935
5/3/18 17:00,38.78,39.0699,38.77,38.9388,35061
5/3/18 18:00,38.83,38.96,38.6716,38.76,21200
5/3/18 19:00,38.77,38.88,38.56,38.87,33477
5/3/18 20:00,38.56,38.85,38.33,38.76,44170
5/3/18 21:00,38.45,38.56,38.37,38.53,97359
6/3/18 15:00,38.41,38.76,38.25,38.46,40877
6/3/18 16:00,38.2,38.52,37.92,38.36,130096
6/3/18 17:00,39.16,39.41,38.16,38.2,66506
6/3/18 18:00,39.06,39.5693,38.97,39.17,62425
6/3/18 19:00,39.45,39.45,38.9,39.04,45286
6/3/18 20:00,39.59,39.69,39.32,39.45,75913
6/3/18 21:00,39.6,39.62,39.29,39.58,80849
7/3/18 15:00,39.83,40,38.9767,39.11,53947
7/3/18 16:00,40.6802,40.74,39.64,39.845,90880
7/3/18 17:00,40.96,41.05,40.53,40.72,59271
7/3/18 18:00,41.3,41.4599,40.92,40.965,37384
7/3/18 19:00,41.365,41.74,41.22,41.27,65982
7/3/18 20:00,41.6301,41.71,41.285,41.37,48107
7/3/18 21:00,41.9,42.03,41.65,41.68,150528
8/3/18 15:00,42.09,42.35,40.8902,41.9,31128
8/3/18 16:00,41.55,42.22,41.125,42,62139
8/3/18 17:00,42.0218,42.17,41.47,41.49,30187
8/3/18 18:00,42.01,42.165,41.835,42.02,19605
8/3/18 19:00,42.05,42.109,41.91,42.04,51854
8/3/18 20:00,41.63,42.125,41.61,42.06,39532
8/3/18 21:00,42.04,42.14,41.63,41.63,88029
9/3/18 15:00,40.65,41.2,39.12,39.98,209156
9/3/18 16:00,41.0001,41.23,40.1,40.695,149440
9/3/18 17:00,41.637,41.637,40.705,41,131090
9/3/18 18:00,42.2,42.68,41.46,41.6298,227893
9/3/18 19:00,41.8,42.44,41.591,42.17,78142
9/3/18 20:00,42.07,42.24,41.76,41.8,72728
9/3/18 21:00,42.23,42.3,42.02,42.0779,107719
12/3/18 14:00,44.3,45.31,43.27,43.49,237435
12/3/18 15:00,44.9,44.94,44.18,44.18,137612
12/3/18 16:00,44.9,45.16,44.6361,44.86,85677
12/3/18 17:00,44.905,45.02,44.54,44.8,51343
12/3/18 18:00,44.78,45.26,44.71,44.8753,74737
12/3/18 19:00,44.9,45,44.55,44.85,85087
12/3/18 20:00,44.84,45.05,44.58,44.91,257146
13/3/18 14:00,44.045,44.84,42.76,44.84,288860
13/3/18 15:00,44.21,44.585,44,44.0602,153321
13/3/18 16:00,44.18,44.4914,44.11,44.2,451638
13/3/18 17:00,43.87,44.22,43.31,44.21,174704
13/3/18 18:00,44.61,44.65,43.8199,43.9,109980
13/3/18 19:00,44.52,44.78,44.12,44.62,90869
13/3/18 20:00,44.44,44.53,44.05,44.53,257540
14/3/18 14:00,44.41,44.8,44.06,44.8,29630
14/3/18 15:00,44.15,44.56,44.06,44.4205,65063
14/3/18 16:00,43.88,44.38,43.8,44.12,61252
14/3/18 17:00,43.7,43.9,43.53,43.82,25089
14/3/18 18:00,43.76,44.08,43.66,43.73,38896
14/3/18 19:00,42.95,43.81,42.805,43.81,68417
14/3/18 20:00,42.39,43.01,42.3,42.99,108390
15/3/18 14:00,43,43.98,42.42,42.51,28713
15/3/18 15:00,43.43,43.43,42.65,42.85,69598
15/3/18 16:00,43.47,43.49,43.18,43.33,56998
15/3/18 17:00,43.59,43.7,43.28,43.45,42679
15/3/18 18:00,43.82,43.93,43.58,43.62,78037
15/3/18 19:00,43.44,43.95,43.34,43.815,81311
15/3/18 20:00,43.69,44,43.01,43.45,232642
16/3/18 14:00,43.55,43.92,43.3776,43.58,50252
16/3/18 15:00,44.47,44.779,43.65,43.65,70607
16/3/18 16:00,44.43,44.83,44.22,44.49,68074
16/3/18 17:00,43.97,44.51,43.755,44.43,64492
16/3/18 18:00,43.985,44.08,43.75,43.98,34926
16/3/18 19:00,44.05,44.25,43.94,44.03,22175
16/3/18 20:00,43.92,44.37,43.8669,44.04,177253
19/3/18 14:00,43.17,43.91,42.83,43.91,51980
19/3/18 15:00,42.18,43.16,41.92,43.11,116490
19/3/18 16:00,41.44,42.29,41.4001,42.27,205875
19/3/18 17:00,42.11,42.26,41.32,41.41,64194
19/3/18 18:00,41.98,42.08,41.79,42.06,43798
