DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
5/3/18 1:00,0.94,0.94,0.94,0.94,1800
5/3/18 2:00,0.925,0.95,0.925,0.945,541400
5/3/18 3:00,0.93,0.93,0.92,0.925,255500
5/3/18 4:00,0.925,0.93,0.925,0.93,22100
5/3/18 5:00,0.925,0.925,0.925,0.925,39800
5/3/18 6:00,0.925,0.93,0.925,0.925,86400
5/3/18 7:00,0.925,0.93,0.925,0.925,69400
5/3/18 8:00,0.92,0.93,0.91,0.925,1116400
5/3/18 9:00,0.92,0.925,0.915,0.92,349500
6/3/18 1:00,0.93,0.93,0.93,0.93,50700
6/3/18 2:00,0.93,0.935,0.925,0.93,312500
6/3/18 3:00,0.925,0.93,0.925,0.925,44100
6/3/18 4:00,0.92,0.93,0.92,0.925,201500
6/3/18 5:00,0.92,0.92,0.92,0.92,15700
6/3/18 6:00,0.925,0.93,0.92,0.92,78000
6/3/18 7:00,0.925,0.93,0.925,0.925,59300
6/3/18 8:00,0.92,0.925,0.92,0.925,714900
6/3/18 9:00,0.92,0.925,0.92,0.92,130700
7/3/18 1:00,0.915,0.915,0.915,0.915,1100
7/3/18 2:00,0.915,0.92,0.9,0.915,1002400
7/3/18 3:00,0.925,0.925,0.915,0.92,362300
7/3/18 4:00,0.92,0.925,0.92,0.92,111400
7/3/18 5:00,0.925,0.925,0.925,0.925,5700
7/3/18 6:00,0.92,0.925,0.92,0.925,77400
7/3/18 7:00,0.915,0.92,0.91,0.915,129100
7/3/18 8:00,0.915,0.915,0.91,0.91,238000
7/3/18 9:00,0.915,0.92,0.91,0.915,236900
8/3/18 1:00,0.915,0.915,0.915,0.915,600
8/3/18 2:00,0.93,0.93,0.915,0.92,266200
8/3/18 3:00,0.93,0.93,0.925,0.925,116700
8/3/18 4:00,0.92,0.925,0.92,0.925,30100
8/3/18 5:00,0.92,0.925,0.92,0.925,42700
8/3/18 6:00,0.925,0.925,0.92,0.925,13500
8/3/18 7:00,0.925,0.925,0.92,0.925,240700
8/3/18 8:00,0.925,0.93,0.92,0.925,95600
8/3/18 9:00,0.925,0.93,0.92,0.93,326600
9/3/18 1:00,0.92,0.92,0.92,0.92,2100
9/3/18 2:00,0.93,0.935,0.92,0.925,257500
9/3/18 3:00,0.935,0.935,0.93,0.93,98400
9/3/18 4:00,0.93,0.935,0.925,0.935,54600
9/3/18 5:00,0.93,0.93,0.93,0.93,176500
9/3/18 6:00,0.93,0.935,0.93,0.93,16300
9/3/18 7:00,0.93,0.935,0.93,0.93,76300
9/3/18 8:00,0.93,0.935,0.93,0.93,55100
9/3/18 9:00,0.93,0.935,0.925,0.93,187400
12/3/18 1:00,0.93,0.93,0.93,0.93,64300
12/3/18 2:00,0.945,0.955,0.93,0.93,1086700
12/3/18 3:00,0.945,0.95,0.945,0.945,108900
12/3/18 4:00,0.945,0.95,0.94,0.945,67300
12/3/18 5:00,0.94,0.94,0.94,0.94,7400
12/3/18 6:00,0.945,0.945,0.94,0.94,16200
12/3/18 7:00,0.94,0.945,0.94,0.94,49500
12/3/18 8:00,0.94,0.945,0.94,0.94,89300
12/3/18 9:00,0.935,0.945,0.935,0.945,205400
13/3/18 1:00,0.935,0.935,0.935,0.935,300
13/3/18 2:00,0.94,0.945,0.935,0.935,109600
13/3/18 3:00,0.945,0.945,0.94,0.945,75300
13/3/18 4:00,0.945,0.945,0.94,0.94,29500
13/3/18 5:00,0.935,0.935,0.935,0.935,1100
13/3/18 6:00,0.935,0.945,0.935,0.945,152800
13/3/18 7:00,0.94,0.945,0.94,0.94,64000
13/3/18 8:00,0.94,0.945,0.935,0.94,158200
13/3/18 9:00,0.94,0.945,0.935,0.94,121500
14/3/18 1:00,0.94,0.94,0.94,0.94,6300
14/3/18 2:00,0.935,0.94,0.935,0.935,215100
14/3/18 3:00,0.94,0.945,0.935,0.94,43100
14/3/18 4:00,0.94,0.945,0.935,0.94,44500
14/3/18 5:00,0.945,0.945,0.945,0.945,900
14/3/18 6:00,0.935,0.945,0.935,0.94,64900
14/3/18 7:00,0.935,0.94,0.935,0.94,17000
14/3/18 8:00,0.935,0.945,0.935,0.94,103800
14/3/18 9:00,0.945,0.945,0.94,0.94,58600
15/3/18 1:00,0.935,0.935,0.935,0.935,2300
15/3/18 2:00,0.94,0.94,0.935,0.935,146600
15/3/18 3:00,0.935,0.94,0.935,0.935,34700
15/3/18 4:00,0.945,0.945,0.935,0.935,241100
15/3/18 5:00,0.94,0.94,0.94,0.94,5000
15/3/18 6:00,0.94,0.945,0.935,0.94,117900
15/3/18 7:00,0.94,0.945,0.935,0.94,153800
15/3/18 8:00,0.94,0.945,0.935,0.94,203000
15/3/18 9:00,0.94,0.945,0.935,0.94,271800
16/3/18 1:00,0.95,0.95,0.945,0.945,35600
16/3/18 2:00,0.955,0.96,0.945,0.945,607600
16/3/18 3:00,0.95,0.955,0.945,0.95,318600
16/3/18 4:00,0.955,0.955,0.95,0.95,89600
16/3/18 5:00,0.95,0.95,0.95,0.95,2700
16/3/18 6:00,0.95,0.955,0.95,0.95,46000
16/3/18 7:00,0.95,0.955,0.945,0.95,280200
16/3/18 8:00,0.945,0.955,0.945,0.95,174500
16/3/18 9:00,0.95,0.95,0.945,0.945,175700
19/3/18 1:00,0.95,0.95,0.95,0.95,6000
19/3/18 2:00,0.94,0.95,0.94,0.945,289500
19/3/18 3:00,0.94,0.945,0.94,0.945,4700
19/3/18 4:00,0.945,0.945,0.94,0.94,46700
19/3/18 5:00,0.945,0.945,0.945,0.945,15600
19/3/18 6:00,0.94,0.945,0.94,0.94,46400
19/3/18 7:00,0.94,0.95,0.94,0.945,114100
19/3/18 8:00,0.94,0.945,0.94,0.94,139500
19/3/18 9:00,0.945,0.945,0.94,0.94,248000
20/3/18 1:00,0.94,0.94,0.94,0.94,63900
20/3/18 2:00,0.95,0.96,0.93,0.945,1042600
20/3/18 3:00,0.955,0.96,0.95,0.95,419700
20/3/18 4:00,0.96,0.96,0.95,0.95,144500
20/3/18 5:00,0.96,0.96,0.96,0.96,42900
20/3/18 6:00,0.96,0.96,0.955,0.955,114900
20/3/18 7:00,0.955,0.965,0.955,0.96,750500
20/3/18 8:00,0.965,0.965,0.96,0.96,132100
20/3/18 9:00,0.97,0.97,0.96,0.965,658400
21/3/18 1:00,0.97,0.97,0.97,0.97,58500
21/3/18 2:00,0.975,0.98,0.97,0.97,448200
21/3/18 3:00,0.965,0.975,0.965,0.975,552900
21/3/18 4:00,0.97,0.975,0.97,0.97,168700
21/3/18 5:00,0.975,0.975,0.975,0.975,2600
21/3/18 6:00,0.975,0.98,0.97,0.97,218500
21/3/18 7:00,0.97,0.98,0.97,0.975,282800
21/3/18 8:00,0.97,0.975,0.97,0.97,139200
21/3/18 9:00,0.965,0.97,0.965,0.97,174000
22/3/18 1:00,0.97,0.97,0.97,0.97,1100
