DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
2/3/18 15:00,174.19,174.3,172.99,173.29,3773456
2/3/18 16:00,173.65,174.69,173.18,174.21,3456466
2/3/18 17:00,175.65,175.72,173.22,173.61,1990884
2/3/18 18:00,176.06,176.25,175.12,175.64,1389968
2/3/18 19:00,174.72,176.14,174.3,176.04,1352198
2/3/18 20:00,175.125,175.91,174.74,174.75,1243981
2/3/18 21:00,176.62,177.11,174.84,175.13,3571326
5/3/18 15:00,177.13,177.43,175.89,176.2,1845488
5/3/18 16:00,178.1513,178.28,176.61,177.12,2123253
5/3/18 17:00,179.975,180.18,177.96,178.13,2317221
5/3/18 18:00,180.49,180.5,179.62,179.975,1410174
5/3/18 19:00,180.23,180.88,179.83,180.5,1356255
5/3/18 20:00,180.62,180.75,179.33,180.23,1372535
5/3/18 21:00,180.4,181.1475,180.23,180.63,3313548
6/3/18 15:00,181.95,182.16,180.41,181.78,2382672
6/3/18 16:00,181.06,182.38,180.84,181.945,2462444
6/3/18 17:00,180.53,181.24,179.91,181.085,1582750
6/3/18 18:00,180.73,180.8447,180.13,180.55,1081429
6/3/18 19:00,180.04,180.96,179.8,180.72,1180545
6/3/18 20:00,179.98,180.32,179.67,180.05,1091811
6/3/18 21:00,179.78,180,179.11,179.96,2150149
7/3/18 15:00,179.25,180.1,178.07,178.74,2214740
7/3/18 16:00,180.97,180.99,178.75,179.25,1936422
7/3/18 17:00,181.03,181.6,180.15,180.96,1989991
7/3/18 18:00,181.86,182.08,180.55,181.03,2069561
7/3/18 19:00,182.02,182.4,181.33,181.81,1414758
7/3/18 20:00,182.91,183.06,181.85,182,2093826
7/3/18 21:00,183.71,183.82,182.88,182.89,4651708
8/3/18 15:00,183.565,184.4,182.88,183.56,2382575
8/3/18 16:00,182.36,183.57,182.1,183.56,2451695
8/3/18 17:00,182.76,183.1799,182.24,182.36,1124419
8/3/18 18:00,182.34,182.82,181.97,182.77,1172770
8/3/18 19:00,181.9077,182.43,181.45,182.36,1542596
8/3/18 20:00,182.16,182.49,181.56,181.91,1262556
8/3/18 21:00,182.34,182.59,181.5438,182.155,3490433
9/3/18 15:00,183.8525,184.86,183.21,183.91,2747024
9/3/18 16:00,184.26,184.3203,183.51,183.855,1900778
9/3/18 17:00,184.86,184.99,183.88,184.26,1695631
9/3/18 18:00,185.098,185.34,184.85,184.865,1633568
9/3/18 19:00,184.77,185.51,184.74,185.0702,1251538
9/3/18 20:00,184.99,185.011,184.58,184.8,1243619
9/3/18 21:00,185.23,185.5,184.77,184.97,4782179
12/3/18 14:00,185.62,185.89,184.45,185.23,2391415
12/3/18 15:00,184.56,186.1,184.53,185.62,2549395
12/3/18 16:00,185.051,185.25,184.22,184.57,1477712
12/3/18 17:00,185.57,185.8,184.98,185.08,1126008
12/3/18 18:00,185.33,185.8852,185.2779,185.57,845752
12/3/18 19:00,185.01,185.55,184.73,185.35,1091901
12/3/18 20:00,184.76,185.37,184.67,185,2545461
13/3/18 14:00,184.17,185.99,183.9,185.61,2121300
13/3/18 15:00,182.24,184.6,182.22,184.17,3174376
13/3/18 16:00,182.47,182.92,181.72,182.27,2644324
13/3/18 17:00,182.42,182.54,181.11,182.48,1651145
13/3/18 18:00,182.33,182.9838,182.25,182.44,1244189
13/3/18 19:00,182.23,182.69,181.81,182.36,1231171
13/3/18 20:00,181.88,182.45,181.35,182.2398,3375488
14/3/18 14:00,182.03,183.04,181.85,182.6,1947211
14/3/18 15:00,183.42,183.82,182.02,182.03,2271516
14/3/18 16:00,182.51,183.61,182.1,183.43,2248114
14/3/18 17:00,182.735,183.29,181.89,182.56,1521933
14/3/18 18:00,183.59,183.9001,182.19,182.71,1421470
14/3/18 19:00,183.99,184.25,183.06,183.61,1433272
14/3/18 20:00,184.19,184.24,183.3201,183.985,3010272
15/3/18 14:00,183.39,183.735,182.4,183.24,2043857
15/3/18 15:00,183.29,183.84,182.68,183.39,2299621
15/3/18 16:00,182.71,183.65,182.6,183.3,1641621
15/3/18 17:00,182.59,182.8,182.19,182.69,1879839
15/3/18 18:00,182.56,183.01,182.24,182.58,1510968
15/3/18 19:00,183.46,183.5,182.46,182.57,1097671
15/3/18 20:00,183.86,184,183.09,183.47,2930674
16/3/18 14:00,184.61,185.33,184.18,184.49,3784639
16/3/18 15:00,184.93,184.95,184.08,184.62,1654593
16/3/18 16:00,183.54,185.1,183.41,184.94,1810313
16/3/18 17:00,184.4614,184.51,183.46,183.5399,1013361
16/3/18 18:00,184.33,184.69,184.1708,184.47,768419
16/3/18 19:00,184.51,184.74,184.19,184.34,813106
16/3/18 20:00,185.09,185.3,184.49,184.51,8588501
19/3/18 14:00,175.19,177.17,174.98,177.01,12943717
19/3/18 15:00,173.48,175.6,173,175.2083,12878658
19/3/18 16:00,170.27,173.87,170.06,173.48,13522569
19/3/18 17:00,172.59,172.99,170.25,170.2782,10502992
19/3/18 18:00,173.2671,173.56,171.77,172.5999,7054419
19/3/18 19:00,172.318,173.53,171.39,173.23,7759695
19/3/18 20:00,172.56,172.65,171,172.31,10654538
20/3/18 14:00,169.0657,170.2,166.69,167.47,17189228
20/3/18 15:00,167.12,169.6,166.17,169.05,17426083
20/3/18 16:00,163.08,167.25,161.95,167.1,26653026
20/3/18 17:00,163.9898,165.95,162.86,163.1,12824220
20/3/18 18:00,162.8218,164.1814,162.38,163.98,10310353
20/3/18 19:00,165.84,166.12,162.4601,162.8206,11165170
20/3/18 20:00,168.15,168.28,165.66,165.86,18663026
21/3/18 14:00,164.47,165.75,163.3,164.8,12875441
21/3/18 15:00,168.87,169.4,164.44,164.46,16379017
21/3/18 16:00,171.08,171.4225,168.37,168.85,14563053
21/3/18 17:00,173.24,173.36,170.8,171.0891,13361485
21/3/18 18:00,171.3,173.4,170.82,173.2355,10754317
21/3/18 19:00,169.37,172.41,168.72,171.2999,10345876
21/3/18 20:00,169.39,169.96,168,169.34,15477037
22/3/18 14:00,168.28,168.43,165.21,166.13,10309050
22/3/18 15:00,166.8427,170.27,166.21,168.28,14327204
22/3/18 16:00,165.023,167.49,164.34,166.82,9269311
22/3/18 17:00,165.38,166.2,163.72,165.0479,8175740
22/3/18 18:00,167.31,167.39,164.71,165.37,6458172
22/3/18 19:00,165.98,167.39,165.6735,167.3148,5388675
22/3/18 20:00,164.89,166.6,164.8,165.9745,10155562
23/3/18 14:00,164.82,167.1,163.42,165.44,6975094
23/3/18 15:00,165.45,165.82,163.82,164.83,5209626
23/3/18 16:00,163.26,165.72,163.23,165.44,4533728
23/3/18 17:00,162.4473,164.21,162.3,163.24,4365020
23/3/18 18:00,163.4635,163.77,161.5801,162.45,4829033
23/3/18 19:00,160.7,163.73,160.6,163.47,6029766
23/3/18 20:00,159.39,160.93,159.02,160.7,13150762
26/3/18 14:00,156.46,161.1,155.85,160.82,13887718
26/3/18 15:00,151.98,157.14,150.36,156.45,27034442
26/3/18 16:00,154.16,155.47,149.02,151.9742,25947888
26/3/18 17:00,155.68,156.87,153.13,154.16,10739985
26/3/18 18:00,154.61,156.66,153.9,155.69,7477561
26/3/18 19:00,155.47,157.725,154.26,154.61,9070085
26/3/18 20:00,160.06,160.7,155.16,155.48,16212235
27/3/18 14:00,161.45,161.71,156.1,156.31,11548194
27/3/18 15:00,159.449,162.85,158.92,161.4748,13093367
27/3/18 16:00,158.46,159.659,157.4,159.43,7563369
27/3/18 17:00,156.6772,158.66,154.1,158.45,8239427
27/3/18 18:00,154.68,156.95,154.5,156.64,5462987
27/3/18 19:00,153.39,155.18,153.32,154.67,6971207
27/3/18 20:00,152.22,153.4407,150.75,153.43,14728505
28/3/18 14:00,153.83,154.39,151.13,151.65,10990647
28/3/18 15:00,153.21,155.88,151.43,153.815,12650965
28/3/18 16:00,152.61,153.53,150.8,153.1975,7306063
28/3/18 17:00,153.285,155.139,152.51,152.5703,5517355
28/3/18 18:00,154.1,154.99,152.81,153.28,4358561
28/3/18 19:00,153.15,154.52,152.8501,154.12,4009535
28/3/18 20:00,153.03,154.1199,152.73,153.15,5938865
29/3/18 14:00,155.43,156.2,154.14,155.15,7152024
29/3/18 15:00,159.12,159.2,155.1111,155.4,11801733
29/3/18 16:00,159.3082,160.13,158.42,159.115,7570486
29/3/18 17:00,159.1,159.7,158.08,159.3276,4692741
29/3/18 18:00,159.9475,160.11,158.39,159.0901,3801323
29/3/18 19:00,160.86,161.05,159.46,159.93,4453920
29/3/18 20:00,159.79,161.42,159.73,160.86,10887374
2/4/18 14:00,157.319,159.2,156.88,157.81,4656840
2/4/18 15:00,156.07,157.3399,155.91,157.32,5011239
2/4/18 16:00,155.14,156.34,154.6,156.07,5016697
2/4/18 17:00,156.49,157.05,154.9,155.16,3643796
2/4/18 18:00,154.9875,156.75,154.94,156.5,2910227
2/4/18 19:00,155.39,155.65,154.35,154.97,3776663
2/4/18 20:00,155.39,155.83,154.111,155.39,6806684
3/4/18 14:00,153.15,156.79,153.08,156.55,5495197
3/4/18 15:00,154.4744,154.489,150.81,153.14,9296110
3/4/18 16:00,155.2034,157.39,154.44,154.479,7012790
3/4/18 17:00,155.0495,155.82,154.11,155.24,3319158
3/4/18 18:00,155.96,156.2781,154.7146,155.02,2716062
3/4/18 19:00,155.82,156.14,154.15,155.9995,3065354
3/4/18 20:00,156.11,156.95,155.03,155.8,5782849
4/4/18 14:00,152.32,153.9,151.9,152.025,5124813
4/4/18 15:00,152.5501,152.69,150.51,152.32,8725380
4/4/18 16:00,153.4184,154,151.39,152.56,5082697
4/4/18 17:00,153.13,154.6,153.05,153.4,4281737
4/4/18 18:00,153.31,153.33,152.15,153.14,3255633
4/4/18 19:00,154.16,154.87,153.07,153.3123,6065962
4/4/18 20:00,155.1,155.56,153.56,154.18,8077683
5/4/18 14:00,160.09,161.575,158.62,161.56,7415508
5/4/18 15:00,158.8442,160.49,158.36,160.07,6155370
5/4/18 16:00,159.5328,159.9,158.41,158.86,3882185
5/4/18 17:00,159.05,159.59,158.2,159.536,3037777
5/4/18 18:00,157.79,159.39,156.65,159.05,3955069
5/4/18 19:00,159.12,159.15,157.69,157.785,3082812
5/4/18 20:00,159.34,160.05,158.91,159.14,6423521
6/4/18 14:00,159.64,160.09,157.05,157.73,3997677
6/4/18 15:00,159.445,159.8715,158.24,159.6343,4107561
