DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
2/3/18 15:00,285.76,288.95,283.23,284.65,1536829
2/3/18 16:00,286.13,288.76,283.75,285.5038,1356685
2/3/18 17:00,291.94,292,285.54,285.98,946828
2/3/18 18:00,294.485,294.93,291.59,291.81,1219364
2/3/18 19:00,293.25,294.72,290.52,294.53,954200
2/3/18 20:00,295.67,296.8995,293.185,293.19,1332465
2/3/18 21:00,301.05,301.18,295.06,295.72,3041184
5/3/18 15:00,300.97,304.5,297.6,302.85,2523290
5/3/18 16:00,307.55,308.199,300.21,300.79,2642239
5/3/18 17:00,310.5,311.2399,306.91,307.6243,2078666
5/3/18 18:00,311.345,311.83,308.7,310.5,1467636
5/3/18 19:00,312.36,313.93,310.8727,311.325,1471363
5/3/18 20:00,315.15,315.2,311.9,312.4,1430587
5/3/18 21:00,315,316.91,314.06,315.07,2856306
6/3/18 15:00,320.61,321.94,316.5,319.88,3157228
6/3/18 16:00,320.5656,325.2743,318.87,320.56,3821206
6/3/18 17:00,324.07,324.2,318.38,320.42,2126277
6/3/18 18:00,324.755,324.97,321.7,324.02,1513366
6/3/18 19:00,322.585,325.02,321.85,324.8,1178646
6/3/18 20:00,324.088,325.2,322.61,322.63,1064939
6/3/18 21:00,325.22,325.58,323.61,324.03,1230283
7/3/18 15:00,321.665,323.25,319.1511,320,2104827
7/3/18 16:00,322.63,323.74,316.7,321.6252,3106753
7/3/18 17:00,315.27,322.6804,315.27,322.6429,2069484
7/3/18 18:00,318.27,318.44,314.55,315.27,1811040
7/3/18 19:00,318.55,318.84,315.24,318.065,1167550
7/3/18 20:00,319.3327,320.94,317.9765,318.5101,1083353
7/3/18 21:00,321.16,322.69,319.32,319.3466,2320633
8/3/18 15:00,318.0291,322.9176,317.91,322.2,1951055
8/3/18 16:00,314.7949,318.8,314.13,318.1,2400195
8/3/18 17:00,317.5803,317.84,314.55,314.7958,950653
8/3/18 18:00,319.34,319.95,316.79,317.5956,1006577
8/3/18 19:00,317.49,319.49,316.28,319.35,699802
8/3/18 20:00,317.43,318.6,316.62,317.51,709142
8/3/18 21:00,317,318.37,315.41,317.59,1210112
9/3/18 15:00,324.45,324.83,320.23,321.33,2366904
9/3/18 16:00,324.8602,325.98,324.05,324.37,2066619
9/3/18 17:00,325.99,326.74,324.801,324.801,1340054
9/3/18 18:00,326.9,327.29,325.56,325.98,890254
9/3/18 19:00,328.4899,329.01,326.98,326.98,1192726
9/3/18 20:00,328.9456,329.72,328.17,328.49,1118608
9/3/18 21:00,331.44,331.44,328.77,328.945,2362841
12/3/18 14:00,326.52,333.98,324.35,333.56,3054220
12/3/18 15:00,323.66,329,323.281,326.495,2891243
12/3/18 16:00,323.44,324.55,321.17,323.73,1776352
12/3/18 17:00,321.63,324.1,321.45,323.42,1750518
12/3/18 18:00,318.73,321.89,318.61,321.555,2219974
12/3/18 19:00,322.05,322.48,318.6,318.69,1275368
12/3/18 20:00,321.3,322.43,320.5,322.01,2294787
13/3/18 14:00,321.6016,325.8409,320.14,323.87,1960748
13/3/18 15:00,318.83,323.935,318.6901,321.63,1934690
13/3/18 16:00,316.42,318.8783,315.28,318.825,1861548
13/3/18 17:00,316.885,317.25,313.278,316.44,1363282
13/3/18 18:00,315.37,319.29,315.272,316.9772,889230
13/3/18 19:00,315.665,316.66,315,315.436,679775
13/3/18 20:00,315.88,316.299,314.91,315.85,1501221
14/3/18 14:00,321.65,321.9,318.15,318.16,1692257
14/3/18 15:00,321.64,323.6353,320.2146,321.5073,1794181
14/3/18 16:00,319.5252,321.9,317.7,321.72,1071085
14/3/18 17:00,321.7589,322.56,318.47,319.5236,869273
14/3/18 18:00,322.75,323.63,320.58,321.67,748067
14/3/18 19:00,321.8456,323.88,320.54,322.89,877632
14/3/18 20:00,321.55,322.12,320.245,321.8317,1021152
15/3/18 14:00,319.59,323.4,318.31,323.17,853801
15/3/18 15:00,319.94,321.49,319.2,319.79,710371
15/3/18 16:00,321.4,322.1,319.925,319.94,548150
15/3/18 17:00,320.31,321.649,319.801,321.58,287735
15/3/18 18:00,318.37,320.63,318.15,320.3455,343523
15/3/18 19:00,320.865,320.91,318.14,318.26,411361
15/3/18 20:00,321.09,321.75,320.16,320.79,811175
16/3/18 14:00,322.5856,324.11,321.33,321.42,1387664
16/3/18 15:00,319.9,323.17,319.16,322.5692,847255
16/3/18 16:00,318.65,320.278,318.37,319.8,583693
16/3/18 17:00,320.85,321,318.44,318.6699,459081
16/3/18 18:00,320.528,321.89,320.13,320.88,454745
16/3/18 19:00,319.8385,321.05,319.65,320.643,320624
16/3/18 20:00,318.45,320.26,318.43,319.8,1591151
19/3/18 14:00,315.945,316.5,313.46,315.8,866421
19/3/18 15:00,315.33,317,314.771,315.85,846968
19/3/18 16:00,308.88,316.29,307.34,315.23,1626368
19/3/18 17:00,311.3905,312.78,308.521,308.805,980812
19/3/18 18:00,310.12,311.46,309.366,311.3,608729
19/3/18 19:00,310.5932,311.25,309,310.02,615609
19/3/18 20:00,313.48,313.8,310.2,310.72,1648347
20/3/18 14:00,316.29,317.57,312.8,313.26,934376
20/3/18 15:00,318.6,319.5,316.185,316.23,911821
20/3/18 16:00,317.02,318.7,315.91,318.649,549961
20/3/18 17:00,316.9617,317.8922,315.92,317.04,486278
20/3/18 18:00,315.87,317.3499,314.93,317.02,379761
20/3/18 19:00,318.26,318.38,315.54,315.9,489079
20/3/18 20:00,317.5,318.32,317.18,318.19,735363
21/3/18 14:00,317.5,318.03,314.7,316.35,533163
21/3/18 15:00,315.875,319.07,315.84,317.59,728333
21/3/18 16:00,317.655,318.45,315.82,315.93,448956
21/3/18 17:00,318.08,318.11,317.37,317.67,193533
21/3/18 18:00,317.35,318.3659,316.3422,318.11,302379
21/3/18 19:00,316.224,319.4,314.511,317.47,722640
21/3/18 20:00,316.48,317.9,315.98,316.16,776213
22/3/18 14:00,311.101,314.12,309.31,313.07,1100095
22/3/18 15:00,309.0605,312.93,308.2,311.09,1019948
22/3/18 16:00,307.53,311.3599,305.66,309.25,974066
22/3/18 17:00,309.42,310.2899,306.75,307.64,605406
22/3/18 18:00,311.63,311.71,307.77,309.25,500701
22/3/18 19:00,308.71,311.86,308.35,311.63,346147
22/3/18 20:00,306.7,309.96,306.19,308.62,1304204
23/3/18 14:00,306.78,310.73,303.82,307.41,1160617
23/3/18 15:00,309.54,310.7,305.51,306.944,966910
23/3/18 16:00,305.13,309.78,305.11,309.46,657019
23/3/18 17:00,303.28,306.98,303.22,305.05,773163
23/3/18 18:00,307.31,308,302.33,303.28,736500
23/3/18 19:00,302.51,307.84,302.26,307.14,609104
23/3/18 20:00,300.94,304.09,300.36,302.6,1868995
26/3/18 14:00,310.53,313.4681,308.7712,309.36,1767863
26/3/18 15:00,306.98,311.95,306.61,310.5779,1083541
26/3/18 16:00,309.36,310.5,302,307.03,1442227
26/3/18 17:00,309.83,311.48,307.78,309.29,549994
26/3/18 18:00,311.66,312.6,309.81,309.97,495904
26/3/18 19:00,317.19,318.49,311.4101,311.6752,1216292
26/3/18 20:00,320.35,321.03,316.92,317.21,2155126
27/3/18 14:00,319.0525,322.9,316.01,322.49,1292090
27/3/18 15:00,318.5,320.16,315.12,318.93,1002660
27/3/18 16:00,318.02,319.25,315.8824,318.37,549665
27/3/18 17:00,313.12,318.39,311.93,318.14,910169
27/3/18 18:00,311.646,314.9,309.74,313.39,744427
27/3/18 19:00,305.12,311.8499,304.77,311.5301,1242939
27/3/18 20:00,300.69,305.32,297,305.12,3170768
28/3/18 14:00,295.99,298.8,284.18,298.39,3184375
28/3/18 15:00,288.215,298.62,283.5,295.8906,2787266
28/3/18 16:00,284.32,290.07,281.61,288.35,2650132
28/3/18 17:00,286.2,291.82,284.13,284.16,1742344
28/3/18 18:00,288.52,289.95,285.01,286.15,1181118
28/3/18 19:00,288.07,291.23,286.45,288.63,1260168
28/3/18 20:00,285.77,288.97,285.23,287.93,1924869
29/3/18 14:00,277.7799,288,275.9,287,2583129
29/3/18 15:00,286.59,286.79,277.17,277.6736,3400969
29/3/18 16:00,286.815,288.79,283.89,286.696,2121718
29/3/18 17:00,285.675,287.44,283.96,286.8156,924917
29/3/18 18:00,291.649,291.9,283.011,285.79,1233568
29/3/18 19:00,292.59,293.67,289.38,291.58,1599252
29/3/18 20:00,295.35,295.35,291.32,292.49,3526782
2/4/18 14:00,284.99,292.87,283.19,291.94,1540063
2/4/18 15:00,281.89,287.19,281,284.99,1626483
2/4/18 16:00,279.884,283.33,277,281.88,1574570
2/4/18 17:00,283.3856,285.39,279.34,279.99,1022789
2/4/18 18:00,279.28,284.14,279.25,283.47,694503
2/4/18 19:00,277.831,279.64,275.05,279.3241,1560331
2/4/18 20:00,280.29,282.28,275.77,277.9548,2278891
3/4/18 14:00,285.14,291.25,284.5,285.45,2027585
3/4/18 15:00,284,285.63,278.01,285.195,2679010
3/4/18 16:00,280.38,287.75,280.17,283.6717,1384709
3/4/18 17:00,281.975,282.89,279.55,280.44,689580
3/4/18 18:00,282.61,283.97,281.03,281.84,506434
3/4/18 19:00,284.48,284.8099,278.8,282.92,879237
3/4/18 20:00,283.67,287.1,282.47,284.61,1791013
4/4/18 14:00,279.6038,279.8899,271.2239,273.63,1500661
4/4/18 15:00,279.85,281.0503,275.6021,279.49,1343963
4/4/18 16:00,283.2601,283.45,277.12,279.61,1070679
4/4/18 17:00,285.27,287.73,282.7409,283.3464,1597641
4/4/18 18:00,284.62,285.695,281.07,285.3798,1138344
4/4/18 19:00,285.58,287.19,283.78,284.65,1120038
4/4/18 20:00,288.94,290.31,284.42,285.64,2043569
5/4/18 14:00,292.515,295.8,289.11,293.15,1617418
5/4/18 15:00,294.01,295.28,291.03,292.4766,1373327
5/4/18 16:00,297.705,299.16,293.841,294.21,1411281
5/4/18 17:00,296.29,297.72,293.83,297.72,910846
5/4/18 18:00,294.3,297.1899,292.6468,296.39,1064576
5/4/18 19:00,295.75,296,293.21,294.32,621025
5/4/18 20:00,293.97,296.97,293.7542,295.81,1393334
6/4/18 14:00,297.98,298.43,289,289.1,1561426
6/4/18 15:00,293.32,298.85,291.4,297.8,1572006
6/4/18 16:00,293.975,294.8784,290.83,293.2241,974021
6/4/18 17:00,294.17,295.3,291.55,293.91,684052
6/4/18 18:00,290.8,296.26,290.58,294.21,914002
6/4/18 19:00,286.85,291.65,285.65,290.6,1083016
6/4/18 20:00,288.85,290.4,286.2,286.794,2343395
9/4/18 14:00,294.75,295.9,290.221,291.77,1221211
9/4/18 15:00,297.5022,299.55,294.74,294.851,1401388
9/4/18 16:00,297.905,298.19,295.91,297.58,870173
9/4/18 17:00,297.86,299.04,296.05,297.8897,858215
9/4/18 18:00,296.5,298.57,295.741,297.9508,597182
9/4/18 19:00,295.59,296.69,294.15,296.66,701532
9/4/18 20:00,289.93,295.63,289.12,295.53,2067767
10/4/18 14:00,296.05,298.5,294.33,297.68,1925450
10/4/18 15:00,296.07,298,293.19,296.1678,1641684
10/4/18 16:00,294.0436,297.15,293.24,296.034,1011495
10/4/18 17:00,292.6,294.95,291.69,294.24,748657
10/4/18 18:00,295.25,295.25,292.01,292.66,661106
10/4/18 19:00,296.73,296.73,294,295.155,720139
10/4/18 20:00,298.07,298.95,296.41,296.71,1769242
11/4/18 14:00,306.49,306.81,301.82,302.8847,2246645
11/4/18 15:00,307.91,311.64,304.98,306.38,2772563
11/4/18 16:00,307.92,309.61,306.3453,308,1656514
11/4/18 17:00,306.7903,309.9599,306.51,307.98,1024257
11/4/18 18:00,308.1393,308.67,306.842,306.842,711399
11/4/18 19:00,304.4007,308.35,304.25,308.1181,1154747
11/4/18 20:00,303.67,305.49,302.29,304.4,2148419
12/4/18 14:00,309.9,311.13,307.4,309.7187,1665169
12/4/18 15:00,309.54,310.5,308,309.86,1413983
12/4/18 16:00,309.63,310.6,308.535,309.555,926858
12/4/18 17:00,309.399,310.3,307.66,309.52,799140
12/4/18 18:00,307.11,309.61,306.75,309.45,711983
12/4/18 19:00,309.295,309.36,307.005,307.196,514752
12/4/18 20:00,309.25,311,309.06,309.335,1842614
13/4/18 14:00,314.85,317.49,313.9,317.29,2181683
13/4/18 15:00,313.87,315.63,312.6525,314.77,1867066
13/4/18 16:00,313.46,314,312.1,313.84,941212
13/4/18 17:00,312.7,314.5,312.42,313.4744,741170
13/4/18 18:00,313.3092,313.7,312.03,312.7026,687184
13/4/18 19:00,311.2162,313.6701,310.8,313.3416,792374
13/4/18 20:00,311.65,312.4,308.23,311.19,2002247
16/4/18 14:00,309.74,316.1,309.26,315.99,1986184
16/4/18 15:00,309.2299,311.48,308.87,309.5998,1592932
16/4/18 16:00,307.35,309.429,304,309.1552,2206970
16/4/18 17:00,308.19,309.87,307.37,307.52,1230142
16/4/18 18:00,306.93,308.59,306.41,308.25,912422
16/4/18 19:00,307.26,307.75,305,306.945,1249889
16/4/18 20:00,307.78,309.3,305.63,307.34,3144349
17/4/18 14:00,326.84,330,323.77,329.66,5412359
17/4/18 15:00,331.42,332,326.68,326.83,4521550
17/4/18 16:00,334.928,335,331.3,331.4278,3475762
17/4/18 17:00,338.1272,338.4146,334.77,334.93,3361188
17/4/18 18:00,337.88,338.62,336.58,338.0808,1767230
17/4/18 19:00,337.0257,338.47,336.6,337.8767,1737756
17/4/18 20:00,336.06,337.04,332.86,337.04,4352159
18/4/18 14:00,338.25,338.82,333.33,336.3,2135858
18/4/18 15:00,335.0493,338.335,333.53,338.2,1925617
18/4/18 16:00,332.1,336.5,331.1,335.11,1313186
18/4/18 17:00,332.9149,333.9,331.62,332.1407,701031
18/4/18 18:00,332.4221,333.39,331.85,332.88,481754
