DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
5/3/18 15:00,0.398,0.4,0.398,0.4,400
5/3/18 16:00,0.398,0.398,0.398,0.398,200
5/3/18 21:00,0.4179,0.4179,0.378,0.378,27765
6/3/18 15:00,0.416,0.4179,0.40895,0.40895,1900
6/3/18 17:00,0.3901,0.3901,0.3901,0.3901,300
6/3/18 19:00,0.4,0.4,0.4,0.4,26000
6/3/18 21:00,0.39,0.39,0.39,0.39,2500
7/3/18 16:00,0.395,0.395,0.395,0.395,2450
7/3/18 18:00,0.395,0.395,0.395,0.395,7699
7/3/18 21:00,0.4,0.4,0.4,0.4,2500
8/3/18 15:00,0.4,0.4,0.4,0.4,4000
8/3/18 16:00,0.4,0.4,0.4,0.4,1400
8/3/18 17:00,0.4,0.4,0.4,0.4,1000
8/3/18 20:00,0.408,0.408,0.408,0.408,5000
8/3/18 21:00,0.406,0.408,0.4,0.4,5110
9/3/18 19:00,0.3801,0.3801,0.3801,0.3801,5724
9/3/18 20:00,0.38,0.38,0.38,0.38,500
12/3/18 14:00,0.38,0.408,0.38,0.408,3400
12/3/18 16:00,0.4039,0.4039,0.38,0.38,3033
12/3/18 17:00,0.352,0.378,0.352,0.378,5000
12/3/18 19:00,0.37298,0.37298,0.37298,0.37298,100
13/3/18 14:00,0.4059,0.4059,0.37,0.37,300
13/3/18 15:00,0.4,0.406,0.4,0.4059,10130
13/3/18 16:00,0.37,0.398,0.37,0.38704,15000
13/3/18 17:00,0.3551,0.3551,0.3551,0.3551,225
13/3/18 18:00,0.355,0.35755,0.355,0.35755,10413
13/3/18 19:00,0.313,0.355,0.313,0.355,34800
13/3/18 20:00,0.3479,0.3479,0.32,0.32,23900
14/3/18 16:00,0.3239,0.324,0.31945,0.324,37311
14/3/18 17:00,0.3113,0.3239,0.3113,0.3239,11887
14/3/18 18:00,0.295,0.305,0.295,0.3001,40835
14/3/18 20:00,0.297,0.297,0.296,0.296,105000
15/3/18 14:00,0.261,0.29,0.261,0.29,525
15/3/18 15:00,0.2625,0.2735,0.2625,0.2726,25434
15/3/18 16:00,0.2625,0.2625,0.2625,0.2625,17050
15/3/18 18:00,0.265,0.283,0.265,0.283,5258
15/3/18 20:00,0.27,0.27,0.26995,0.26995,3486
16/3/18 14:00,0.25,0.265,0.25,0.2626,53307
16/3/18 15:00,0.25,0.25,0.25,0.25,21694
16/3/18 16:00,0.25,0.25,0.25,0.25,20000
16/3/18 17:00,0.24,0.25,0.24,0.25,5320
16/3/18 19:00,0.22,0.25,0.22,0.25,66150
16/3/18 20:00,0.23,0.23,0.22,0.23,5320
19/3/18 14:00,0.23,0.24,0.22,0.22,10586
19/3/18 15:00,0.222,0.231,0.222,0.23,12916
