DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
5/3/18 15:00,6.63,6.66,6.6,6.66,17105
5/3/18 16:00,6.71,6.73,6.62,6.63,42037
5/3/18 17:00,6.76,6.785,6.72,6.72,38975
5/3/18 18:00,6.75,6.78,6.75,6.77,7200
5/3/18 19:00,6.75,6.77,6.75,6.755,4980
5/3/18 20:00,6.76,6.765,6.74,6.76,13306
5/3/18 21:00,6.76,6.77,6.75,6.76,34777
6/3/18 15:00,6.97,7,6.96,6.98,55064
6/3/18 16:00,6.93,7.01,6.93,6.99,53361
6/3/18 17:00,6.9,6.96,6.88,6.93,96290
6/3/18 18:00,6.95,6.95,6.89,6.9,13376
6/3/18 19:00,6.9,6.95,6.9,6.94,2300
6/3/18 20:00,6.915,6.93,6.9,6.9,2700
6/3/18 21:00,6.93,6.94,6.88,6.92,85549
7/3/18 15:00,6.82,6.9,6.82,6.87,21015
7/3/18 16:00,6.84,6.86,6.81,6.82,10197
7/3/18 17:00,6.805,6.85,6.805,6.85,22834
7/3/18 18:00,6.795,6.8091,6.78,6.8,10000
7/3/18 19:00,6.8062,6.81,6.78,6.795,3867
7/3/18 20:00,6.83,6.84,6.81,6.81,5906
7/3/18 21:00,6.855,6.86,6.82,6.82,33230
8/3/18 15:00,6.91,6.94,6.91,6.92,8281
8/3/18 16:00,6.89,6.9224,6.89,6.91,28770
8/3/18 17:00,6.89,6.92,6.89,6.9,3904
8/3/18 18:00,6.89,6.9,6.87,6.895,8600
8/3/18 19:00,6.88,6.9,6.87,6.9,15617
8/3/18 20:00,6.9,6.9,6.87,6.87,12304
8/3/18 21:00,6.95,6.95,6.89,6.91,80387
9/3/18 15:00,7.0568,7.07,7.02,7.06,52555
9/3/18 16:00,7.1099,7.11,7.06,7.07,39084
9/3/18 17:00,7.0999,7.11,7.08,7.1,27846
9/3/18 18:00,7.11,7.12,7.08,7.08,9486
9/3/18 19:00,7.11,7.1199,7.1,7.1,25015
9/3/18 20:00,7.11,7.12,7.1,7.11,21836
9/3/18 21:00,7.16,7.17,7.1,7.12,62637
12/3/18 14:00,7.195,7.26,7.18,7.22,25281
12/3/18 15:00,7.22,7.26,7.2,7.2,58094
12/3/18 16:00,7.23,7.23,7.19,7.22,41721
12/3/18 17:00,7.27,7.28,7.22,7.23,36586
12/3/18 18:00,7.25,7.32,7.23,7.26,64049
12/3/18 19:00,7.21,7.27,7.2,7.26,21948
12/3/18 20:00,7.23,7.26,7.2,7.2,58328
13/3/18 14:00,7.0401,7.16,7.04,7.1,49739
13/3/18 15:00,7.02,7.06,7.02,7.04,23824
13/3/18 16:00,6.98,7.03,6.97,7.025,41235
