DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
2/3/18 15:00,48.25,48.29,47.76,47.83,2325724
2/3/18 16:00,47.995,48.325,47.985,48.25,2085526
2/3/18 17:00,47.96,48.05,47.76,47.98,1446763
2/3/18 18:00,48.1,48.17,47.8,47.955,1239021
2/3/18 19:00,48.02,48.17,47.94,48.1,1560599
2/3/18 20:00,48.12,48.2369,47.97,48.03,1401005
2/3/18 21:00,48.27,48.32,47.96,48.12,3195017
5/3/18 15:00,48.15,48.29,48.02,48.15,877146
5/3/18 16:00,48.38,48.385,48.05,48.15,1295197
5/3/18 17:00,48.5563,48.66,48.36,48.38,1763487
5/3/18 18:00,48.6399,48.65,48.365,48.56,1330726
5/3/18 19:00,48.745,48.75,48.56,48.64,1074171
5/3/18 20:00,48.865,48.87,48.6527,48.7499,1447406
5/3/18 21:00,48.71,48.94,48.69,48.865,3279988
6/3/18 15:00,48.4,48.849,48.3,48.75,1284093
6/3/18 16:00,48.47,48.5732,48.33,48.3966,1219049
6/3/18 17:00,48.545,48.55,48.37,48.46,1203393
6/3/18 18:00,48.835,48.87,48.53,48.54,1393832
6/3/18 19:00,48.64,48.87,48.59,48.83,946043
6/3/18 20:00,48.74,48.795,48.605,48.64,1012517
6/3/18 21:00,48.87,48.88,48.66,48.73,2370768
7/3/18 15:00,48.6,48.8,48.46,48.54,1287148
7/3/18 16:00,49.13,49.13,48.6,48.6,1929847
7/3/18 17:00,48.96,49.21,48.95,49.13,1325149
7/3/18 18:00,48.78,48.99,48.55,48.97,1187963
7/3/18 19:00,48.7358,48.94,48.6758,48.78,815805
7/3/18 20:00,48.77,48.85,48.6599,48.74,1347297
7/3/18 21:00,48.86,49,48.734,48.775,2671203
8/3/18 15:00,48.76,48.98,48.75,48.89,850673
8/3/18 16:00,48.73,48.79,48.47,48.76,2674883
8/3/18 17:00,48.4735,48.81,48.43,48.73,1459359
8/3/18 18:00,48.4962,48.53,48.32,48.475,1460855
8/3/18 19:00,48.76,48.8,48.49,48.5,1226108
8/3/18 20:00,48.88,48.9,48.7,48.755,1239421
8/3/18 21:00,49.01,49.03,48.7348,48.885,2974277
9/3/18 15:00,48.565,49.23,48.45,49.2,2181717
9/3/18 16:00,48.72,48.79,48.35,48.565,2447169
9/3/18 17:00,48.7436,48.84,48.65,48.73,1192312
9/3/18 18:00,48.84,48.99,48.7401,48.7444,1066299
9/3/18 19:00,48.79,48.925,48.78,48.8358,1104818
9/3/18 20:00,48.83,48.835,48.69,48.795,1280132
9/3/18 21:00,49,49.02,48.7601,48.83,2736573
12/3/18 14:00,49.12,49.26,49,49.03,1445945
12/3/18 15:00,48.83,49.13,48.75,49.125,2006884
12/3/18 16:00,48.845,48.96,48.72,48.825,1430294
12/3/18 17:00,48.754,48.95,48.71,48.84,868431
