Date,Count
2018-01-01,183
2018-01-02,188
2018-01-03,213
2018-01-04,198
2018-01-05,224
2018-01-06,170
2018-01-07,148
2018-01-08,171
2018-01-09,199
2018-01-10,296
2018-01-11,327
2018-01-12,257
2018-01-13,135
2018-01-14,161
2018-01-15,226
2018-01-16,442
2018-01-17,444
2018-01-18,342
2018-01-19,172
2018-01-20,197
2018-01-21,116
2018-01-22,416
2018-01-23,1461
2018-01-24,1831
2018-01-25,1509
2018-01-26,625
2018-01-27,433
2018-01-28,371
2018-01-29,809
2018-01-30,565
2018-01-31,492
2018-02-01,344
2018-02-02,279
2018-02-03,282
2018-02-04,325
2018-02-05,372
2018-02-06,448
2018-02-07,784
2018-02-08,780
2018-02-09,367
2018-02-10,265
2018-02-11,198
2018-02-12,261
2018-02-13,412
2018-02-14,369
2018-02-15,278
2018-02-16,455
2018-02-17,306
2018-02-18,233
2018-02-19,302
2018-02-20,385
2018-02-21,442
2018-02-22,329
2018-02-23,323
2018-02-24,205
2018-02-25,175
2018-02-26,303
2018-02-27,443
2018-02-28,368
2018-03-01,5261
2018-03-02,22273
2018-03-03,16208
2018-03-04,7282
2018-03-05,13108
2018-03-06,10693
2018-03-07,13208
2018-03-08,7226
2018-03-09,6977
2018-03-10,3509
2018-03-11,4628
2018-03-12,3205
2018-03-13,2206
2018-03-14,3993
2018-03-15,3357
2018-03-16,1814
2018-03-17,1010
2018-03-18,1158
2018-03-19,1722
2018-03-20,2883
2018-03-21,2700
2018-03-22,14229
2018-03-23,19320
2018-03-24,5974
2018-03-25,4590
2018-03-26,6077
2018-03-27,5382
2018-03-28,2914
2018-03-29,2150
2018-03-30,1302
2018-03-31,813
2018-04-01,1295
2018-04-02,11025
2018-04-03,7848
2018-04-04,26523
2018-04-05,18880
2018-04-06,25118
2018-04-07,10119
2018-04-08,7006
2018-04-09,9861
2018-04-10,8629
2018-04-11,4625
2018-04-12,4861
2018-04-13,4434
2018-04-14,1556
2018-04-15,1413
2018-04-16,2334
2018-04-17,2367
2018-04-18,2337
2018-04-19,2616
2018-04-20,2161
2018-04-21,1053
2018-04-22,1394
2018-04-23,2015
2018-04-25,4049
2018-04-26,4027
2018-04-27,2829
2018-04-27,1517
2018-04-28,933
2018-04-29,1392
2018-04-30,2021
2018-05-01,2031
2018-05-02,1646
2018-05-03,2301
2018-05-04,2416
2018-05-05,1538
2018-05-07,5624
2018-05-08,6022
2018-05-09,5236
2018-05-10,4913
2018-05-11,1781
